Station ID,Station Name,Town,Region,Country,Latitude (N),Longitude (E),Building Condition,Service Status,Status Year,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Status Year.1,Notes,Is in NP-M
111,Žīguri,Žīguri,Balvu novads,Latvia,57.262854,27.66571,Ruined/Disused,Closed,2001,,28,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
112,Vecumi,Vecumi,Balvu novads,Latvia,57.213656,27.773228,Ruined/Disused,Closed,2001,,29,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
113,Purvmala,Nosovo,Pskov oblast,Russia,57.11342,27.82248,Ruined/Disused,Closed,2004,,30,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
114,Pitalovo,Pitalovo,Pskov oblast,Russia,57.065393,27.912936,Non-railway use,Closed,2021,,31,7,Ieriķi—Abrene,1902,1520 mm,Dismantled,2001,,TRUE
114,Pitalovo,Pitalovo,Pskov oblast,Russia,57.065393,27.912936,Non-railway use,Closed,2021,,29,25,Daugavpils—Kārsava—Abrene,1860,1520 mm,Freight only,1999,"Until 2015, stops for trains to St. Petersburg",TRUE
115,Stradziņi,Rugāji,Balvu novads,Latvia,57.064104,27.087394,Dismantled/Not built,Closed,1965,Empty spot in a forest,12,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
116,Rugāji,Rugāji,Balvu novads,Latvia,57.007653,27.133502,Residential,Closed,1965,,11,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
117,Kapūne,Zirņusala,Balvu novads,Latvia,56.966795,27.129868,Dismantled/Not built,Closed,1965,,10,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
118,Lazdukalns,Lazdukalns,Balvu novads,Latvia,56.921886,27.112064,Residential,Closed,1965,Uncertain,9,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
119,Galvari,Liepari,Balvu novads,Latvia,56.892112,27.12158,Dismantled/Not built,Closed,1965,,8,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
120,Bērzpils,Bērzpils,Balvu novads,Latvia,56.852341,27.095798,Residential,Closed,1965,,7,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
121,Iča,Silmači,Balvu novads,Latvia,56.826147,27.093916,Residential,Closed,1965,,6,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
122,Strūžāni,Drobas,Rēzeknes novads,Latvia,56.75656,27.111649,Dismantled/Not built,Closed,1965,Bus stop on P36 highway,5,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
123,Gaigola,Pūdinova,Rēzeknes novads,Latvia,56.71468,27.117769,Residential,Closed,1965,,4,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
124,Dricēni,Piļkas,Rēzeknes novads,Latvia,56.659777,27.197626,Residential,Closed,1965,,3,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
125,Kugras,Ķipļuki,Rēzeknes novads,Latvia,56.624294,27.310583,Dismantled/Not built,Closed,1965,,2,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
126,Burzava,Burzova,Rēzeknes novads,Latvia,56.586905,27.345337,Non-railway use,Closed,1999,Freight only,1,8,Rēzekne—Sita,1947,750 mm,Dismantled,2000,Traffic closed 1990,TRUE
126,Burzava,Burzova,Rēzeknes novads,Latvia,56.586905,27.345337,Non-railway use,Closed,1999,Freight only,20,25,Daugavpils—Kārsava—Abrene,1860,1520 mm,Freight only,1999,"Until 2015, stops for trains to St. Petersburg",TRUE
128,Saurieši,Saurieši,Ropažu novads,Latvia,56.916895,24.362179,Non-railway use,Closed,2007,Functions for freight; planned connection for Rail Baltica,1,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
129,Cekule,Cekule,Ropažu novads,Latvia,56.920152,24.401829,Ruined/Disused,Closed,2007,Destroyed by 2013 fire,2,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
130,Jauncekule,Cekule,Ropažu novads,Latvia,56.922057,24.425837,Dismantled/Not built,Closed,2007,,3,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
131,Ķivuļi,Ķivuļi,Ropažu novads,Latvia,56.925793,24.465887,Residential,Closed,2007,,4,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
132,Bajāri,Bajāri,Ropažu novads,Latvia,56.934139,24.560071,Dismantled/Not built,Closed,2007,,5,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
133,Kangari,Kangari,Ropažu novads,Latvia,56.937392,24.610429,Ruined/Disused,Closed,2007,,6,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
134,Remīne,Vilasmuiža,Ropažu novads,Latvia,56.946667,24.701389,Dismantled/Not built,Closed,2007,,7,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
135,Augšciems,Augšciems,Ropažu novads,Latvia,56.948724,24.786723,Ruined/Disused,Closed,2007,,8,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
136,Kārde,Kārde,Siguldas novads,Latvia,56.950352,24.842723,Dismantled/Not built,Closed,2007,,9,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
137,Sidgunda,Sidgunda,Siguldas novads,Latvia,56.943561,24.909424,Dismantled/Not built,Closed,2007,,10,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
138,Suntaži,Suntaži,Ogres novads,Latvia,56.910509,24.945565,Non-railway use,Closed,2007,Short-term lease,11,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
139,Kastrāne,Diedziņš,Ogres novads,Latvia,56.90347,25.045627,Dismantled/Not built,Closed,2007,,12,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
140,Vatrāne,Vatrāne,Ogres novads,Latvia,56.898514,25.132935,Dismantled/Not built,Closed,2007,,13,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
141,Ķeipene,Ķeipene,Ogres novads,Latvia,56.895839,25.186908,Non-railway use,Closed,2007,Museum,14,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
142,Plātere,Šķērstēni,Ogres novads,Latvia,56.896111,25.265,Dismantled/Not built,Closed,2007,,15,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
143,Taurupe,Taurupe,Ogres novads,Latvia,56.898104,25.340663,Non-railway use,Closed,2007,Renovated for future use,16,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
144,Līčupe,Braki,Ogres novads,Latvia,56.888776,25.41916,Dismantled/Not built,Closed,2007,,17,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
145,Baltava,Vecogre,Ogres novads,Latvia,56.889722,25.483333,Dismantled/Not built,Closed,2007,,18,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
146,Roplaini,Roplaini,Madonas novads,Latvia,56.890085,25.553878,Dismantled/Not built,Closed,2007,,19,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
147,Ērgļi,Ērgļi,Madonas novads,Latvia,56.895718,25.630873,Non-railway use,Closed,2007,Toursim info point & café,20,9,Rīga Preču—Ērgļi,1937,1520 mm,Dismantled,2009,Traffic closed 2007,TRUE
148,Liepāja,Liepāja,Liepāja,Latvia,56.523471,21.014464,Active,Operational,2024,,1,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
148,Liepāja,Liepāja,Liepāja,Latvia,56.523471,21.014464,Active,Operational,2024,,1,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
148,Liepāja,Liepāja,Liepāja,Latvia,56.523471,21.014464,Active,Operational,2024,,1,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
148,Liepāja,Liepāja,Liepāja,Latvia,56.523471,21.014464,Active,Operational,2024,,27,101,Jelgava—Liepāja,1928,1520 mm,Operational,2024,"Most stations not served siince 2001, daily service restarted 2023",TRUE
149,Krustojums,Liepāja,Liepāja,Latvia,56.536167,21.089541,Dismantled/Not built,Closed,1964,,2,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
150,Ezerpils,Grobiņa,Dienvidkurzemes novads,Latvia,56.539336,21.154184,Dismantled/Not built,Closed,1964,,3,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
151,Grobiņa,Grobiņa,Dienvidkurzemes novads,Latvia,56.535852,21.179569,Residential,Closed,1964,,4,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
152,Ilgale,Apogi,Dienvidkurzemes novads,Latvia,56.545435,21.215007,Dismantled/Not built,Closed,1964,Uncertain; missing on map,5,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
153,Rolava,Rolava,Dienvidkurzemes novads,Latvia,56.554211,21.242521,Dismantled/Not built,Closed,1964,,6,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
154,Lieģi,Lieģi,Dienvidkurzemes novads,Latvia,56.586244,21.310386,Residential,Closed,1964,,7,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
155,Aisiņi,Aisteres muiža,Dienvidkurzemes novads,Latvia,56.623776,21.325026,Dismantled/Not built,Closed,1964,Uncertain; missing on map,8,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
156,Rāva,Rāva,Dienvidkurzemes novads,Latvia,56.646485,21.335223,Residential,Closed,1964,,9,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
157,Dunalka,Dunalka,Dienvidkurzemes novads,Latvia,56.673729,21.358188,Residential,Closed,1964,,10,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
158,Cīrava,Akmene,Dienvidkurzemes novads,Latvia,56.691913,21.397155,Ruined/Disused,Closed,1964,"Station further in the forest, location of switchhouse",11,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
159,Marijas muiža,Dzērve,Dienvidkurzemes novads,Latvia,56.712854,21.478354,Residential,Closed,1964,,12,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
160,Aizpute,Aizpute,Dienvidkurzemes novads,Latvia,56.724319,21.58137,Residential,Closed,1964,,13,10,Liepāja—Aizpute,1900,750 mm,Dismantled,1964,Until 1938 - 1000 mm gauge,TRUE
160,Aizpute,Aizpute,Dienvidkurzemes novads,Latvia,56.724319,21.58137,Residential,Closed,1964,,1,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
161,Rokaiši,Rokaiži,Dienvidkurzemes novads,Latvia,56.72634,21.66479,Dismantled/Not built,Closed,1931,uncertain; in the forest,2,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
162,Kazdanga,Kapši,Dienvidkurzemes novads,Latvia,56.713368,21.762534,Dismantled/Not built,Closed,1931,,3,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
163,Valtaiķi,Valtaiķi,Kuldīgas novads,Latvia,56.697627,21.80536,Residential,Closed,1931,,4,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
164,Leja,Lieknas,Kuldīgas novads,Latvia,56.68145,21.92598,Dismantled/Not built,Closed,1931,Near freight stop Sieksāte,5,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
165,Skrunda,Skrunda,Kuldīgas novads,Latvia,56.674682,22.02572,Dismantled/Not built,Closed,1931,Approximate location,6,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
166,Raņķi,Ciecere,Kuldīgas novads,Latvia,56.67815,22.06643,Dismantled/Not built,Closed,1928,Approximate location,7,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
167,Airīte,Abāri,Saldus novads,Latvia,56.67777,22.14179,Dismantled/Not built,Closed,1928,Approximate location; near O. Kalpaks museum,8,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
168,Zirņi,Zirņi,Saldus novads,Latvia,56.67645,22.21911,Dismantled/Not built,Closed,1928,Shop in the place of station building,9,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
169,Sesile,Bukupe,Saldus novads,Latvia,56.66951,22.3034,Dismantled/Not built,Closed,1928,Approximate location,10,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
170,Saldus,Saldus,Saldus novads,Latvia,56.669,22.48465,Dismantled/Not built,Closed,1928,Approximate location,11,10.1,Aizpute—Skrunda—Saldus,1900,600 mm,Dismantled,1931,,FALSE
171,Ālande,Grobiņi,Dienvidkurzemes novads,Latvia,56.523834,21.117092,Dismantled/Not built,Closed,1998,Located near present day junction house,1,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
171,Ālande,Grobiņi,Dienvidkurzemes novads,Latvia,56.523834,21.117092,Dismantled/Not built,Closed,1998,Located near present day junction house,2,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
172,Dubeņi,Dubeņi,Dienvidkurzemes novads,Latvia,56.49477,21.18221,Ruined/Disused,Closed,1998,,2,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
172,Dubeņi,Dubeņi,Dienvidkurzemes novads,Latvia,56.49477,21.18221,Ruined/Disused,Closed,1998,,3,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
173,Otanka,Ķīburi,Dienvidkurzemes novads,Latvia,56.394882,21.239922,Residential,Closed,1960,,3,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
174,Bārta,Bārta,Dienvidkurzemes novads,Latvia,56.374894,21.245635,Ruined/Disused,Closed,1960,Uncertain status,4,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
175,Slamste,Slamsti,Dienvidkurzemes novads,Latvia,56.320746,21.210019,Ruined/Disused,Closed,1944,Earthworks from the station grounds,5,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
176,Jēči,Ječi,Dienvidkurzemes novads,Latvia,56.284444,21.191456,Dismantled/Not built,Closed,1944,,6,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
177,Pape,Peši,Dienvidkurzemes novads,Latvia,56.207566,21.134004,Dismantled/Not built,Closed,1944,Paved over by A11,7,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
178,Pūce,Rucava,Dienvidkurzemes novads,Latvia,56.179689,21.155393,Ruined/Disused,Closed,1944,"Multiple buildigns in the area, no streetview",8,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
179,Rucava,Rucava,Dienvidkurzemes novads,Latvia,56.15937,21.15922,Dismantled/Not built,Closed,1944,Approximate location; built over after 1940s,9,11,Liepāja—Rucava,1916,700 mm,Dismantled,1960,Until 1921 - 600 mm gauge,FALSE
180,Gavieze,Gaviezes stacija,Dienvidkurzemes novads,Latvia,56.465729,21.264124,Residential,Closed,1998,,4,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
181,Susta,Krīzberga,Dienvidkurzemes novads,Latvia,56.444486,21.36729,Ruined/Disused,Closed,1998,,5,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
182,Krogzemji,Krogzemji,Dienvidkurzemes novads,Latvia,56.433111,21.443113,Dismantled/Not built,Closed,1998,,6,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
183,Paplaka,Paplakas stacija,Dienvidkurzemes novads,Latvia,56.446298,21.496975,Ruined/Disused,Closed,1998,,7,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
184,Priekule,Priekule,Dienvidkurzemes novads,Latvia,56.443394,21.595001,Ruined/Disused,Closed,1998,,8,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
184,Priekule,Priekule,Dienvidkurzemes novads,Latvia,56.443394,21.595001,Ruined/Disused,Closed,1998,,1,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
185,Elkuzeme,Auguste,Dienvidkurzemes novads,Latvia,56.420355,21.74368,Dismantled/Not built,Closed,1998,Unmarked settlement nearby,9,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
186,Vaiņode,Vaiņode,Dienvidkurzemes novads,Latvia,56.416489,21.855946,"Preserved, uncertain",Closed,1998,,10,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
187,Kazbari,Vaiņode,Dienvidkurzemes novads,Latvia,56.422366,21.92882,Dismantled/Not built,Closed,1998,,11,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
188,Lūšė,Ritinė,Telšių apskritis,Lithuania,56.383534,22.032113,Ruined/Disused,Closed,2003,,12,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
189,Naudvaris,Kugiai,Telšių apskritis,Lithuania,56.365714,22.119223,Dismantled/Not built,Closed,1963,Approximate location & time,13,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
190,Venta,Pumpurai,Telšių apskritis,Lithuania,56.3409,22.2046,Non-railway use,Closed,2003,,14,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
191,Mažeikiai,Mažeikiai,Telšių apskritis,Lithuania,56.31248,22.340135,Active,Operational,2024,,15,12,Liepāja—Vaiņode—Mažeikiai,1871,1520 mm,Freight only,2012,"Dismantled between Ālande and Priekule, freight only",TRUE
191,Mažeikiai,Mažeikiai,Telšių apskritis,Lithuania,56.31248,22.340135,Active,Operational,2024,,14,19,Glūda—Reņģe—Mažeikiai,1873,1520 mm,Freight only,2010,Until 1925 - 1435 mm gauge,TRUE
192,Purmsāti,Purmsāti,Dienvidkurzemes novads,Latvia,56.40428,21.53329,Ruined/Disused,Closed,1980,Approximate time,2,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
193,Kaleti,Ozoli,Dienvidkurzemes novads,Latvia,56.32859,21.52788,Residential,Closed,1980,Approximate time,3,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
194,Skuodas,Skuodas,Klaipėdos apskritis,Lithuania,56.264723,21.492964,Ruined/Disused,Closed,2006,,4,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
195,Paluknė,Žirnikai,Klaipėdos apskritis,Lithuania,56.2231,21.4583,Ruined/Disused,Closed,2006,,5,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
196,Litvinai,Litvinai,Klaipėdos apskritis,Lithuania,56.1771,21.4279,Dismantled/Not built,Closed,2006,,6,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
197,Medininkai,Medininkai,Klaipėdos apskritis,Lithuania,56.132311,21.390399,Dismantled/Not built,Closed,2006,,7,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
198,Nausėdai,Nausėdai,Klaipėdos apskritis,Lithuania,56.078025,21.29887,Residential,Closed,2006,,8,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
199,Darbėnai,Pasertupis,Klaipėdos apskritis,Lithuania,56.014192,21.240379,Ruined/Disused,Closed,2006,,9,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
200,Tūbausiai,Pajuodupiai,Klaipėdos apskritis,Lithuania,55.96746,21.248828,Residential,Closed,2006,,10,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
201,Kretinga,Pajuodupiai,Klaipėdos apskritis,Lithuania,55.886822,21.229695,Active,Operational,2024,,11,12.1,Priekule—Bajorai,1915,1520 mm,Freight only,2001,,FALSE
202,Tosmare,Liepāja,Liepāja,Latvia,56.53772,21.05266,Dismantled/Not built,Closed,1944,,2,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
203,Kapsēde,Kapsede,Dienvidkurzemes novads,Latvia,56.590061,21.10974,Ruined/Disused,Closed,1996,,3,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
204,Māteri,Ievkalni,Dienvidkurzemes novads,Latvia,56.62953,21.10551,Dismantled/Not built,Closed,1996,,4,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
205,Medze,Medze,Dienvidkurzemes novads,Latvia,56.66069,21.12478,Residential,Closed,1996,Status uncertain,5,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
206,Ploce,Ploce,Dienvidkurzemes novads,Latvia,56.678793,21.135843,Ruined/Disused,Closed,1996,,6,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
207,Vergale,Vergales stacija,Dienvidkurzemes novads,Latvia,56.714242,21.173243,Residential,Closed,1996,,7,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
208,Mežaine,Mežaine,Dienvidkurzemes novads,Latvia,56.785203,21.227202,Residential,Closed,1996,,8,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
209,Saka,Saka,Dienvidkurzemes novads,Latvia,56.852023,21.201671,Ruined/Disused,Closed,1996,,9,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
210,Kursa,Pavilosta,Dienvidkurzemes novads,Latvia,56.877672,21.226647,Ruined/Disused,Closed,1996,,10,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
210,Kursa,Pavilosta,Dienvidkurzemes novads,Latvia,56.877672,21.226647,Ruined/Disused,Closed,1996,,1,13.1,Kursas—Pavilosta,1932,750 mm,Dismantled,1946,"Single-station branch, closed between 1945-1947",FALSE
211,Pavilosta,Pavilosta,Dienvidkurzemes novads,Latvia,56.886808,21.187288,Dismantled/Not built,Closed,1944,Monument at the station site,2,13.1,Kursas—Pavilosta,1932,750 mm,Dismantled,1946,"Single-station branch, closed between 1945-1947",FALSE
212,Upenieki,Meņģi,Dienvidkurzemes novads,Latvia,56.887899,21.28345,Residential,Closed,1996,,11,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
213,Riva,Riva,Dienvidkurzemes novads,Latvia,56.911859,21.388131,Ruined/Disused,Closed,1996,,12,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
214,Stirna,Bērzkalni,Kuldīgas novads,Latvia,56.942686,21.497351,Ruined/Disused,Closed,1996,,13,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
215,Alsunga Dienvidu,Alsunga,Kuldīgas novads,Latvia,56.967987,21.549672,Residential,Closed,1996,,14,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
215,Alsunga Dienvidu,Alsunga,Kuldīgas novads,Latvia,56.967987,21.549672,Residential,Closed,1996,,1,14,Alsunga—Kuldīga,1935,750 mm,Dismantled,1974,Part of Liepāja—Alsunga until 1944,TRUE
216,Anuži,Anuži,Kuldīgas novads,Latvia,57.024539,21.578058,Dismantled/Not built,Closed,1996,,15,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
217,Užava,Tērande,Ventspils novads,Latvia,57.090758,21.605469,Ruined/Disused,Closed,1996,,16,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
218,Berziņi,Ziras,Ventspils novads,Latvia,57.145725,21.569812,Dismantled/Not built,Closed,1996,,17,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
219,Zūras,Ventava,Ventspils novads,Latvia,57.224084,21.574473,Residential,Closed,1996,,18,13,Liepāja—Ventspils,1928,1520 mm,Dismantled,1996,"Until 1944 750 mm gauge, until 1950s 1435 mm gauge; Alsunga-Ventspils built in 1944",FALSE
